year,make,model,price,mileage,color,url,body_type
2008,BMW,3,13995,160320,black,https://www.carpages.ca/used-cars/ontario/tilbury/2008-bmw-3-series-13299641/,Coupe
2012,BMW,1,9999,145000,white,https://www.carpages.ca/used-cars/ontario/toronto/2012-bmw-1-series-13299521/,Coupe
2022,Mercedes-Benz,GLE-Class,121495,46174,black,https://www.carpages.ca/used-cars/ontario/ottawa/2022-mercedes-benz-gle-class-13298708/,Coupe
2024,BMW,4,62995,31711,gray,https://www.carpages.ca/used-cars/ontario/north-york/2024-bmw-4-series-13297808/,Coupe
2012,Ford,Mustang,8995,200250,black,https://www.carpages.ca/used-cars/ontario/komoka/2012-ford-mustang-13297055/,Coupe
2020,Tesla,Model,36998,80586,Other,https://www.carpages.ca/used-cars/ontario/nepean/2020-tesla-model-y-13296242/,Coupe
2026,Ford,Mustang,54165,0,blue,https://www.carpages.ca/new-cars/british-columbia/sechelt/2026-ford-mustang-13295321/,Coupe
2026,Hyundai,KONA,39336,25,red,https://www.carpages.ca/new-cars/ontario/nepean/2026-hyundai-kona-13295228/,Coupe
2009,Smart,fortwo,950,189740,blue,https://www.carpages.ca/used-cars/alberta/calgary/2009-smart-fortwo-13293989/,Coupe
2016,Ford,Mustang,16000,87923,blue,https://www.carpages.ca/used-cars/alberta/calgary/2016-ford-mustang-13293944/,Coupe
2011,Audi,A5,8000,176444,black,https://www.carpages.ca/used-cars/alberta/calgary/2011-audi-a5-s-13293899/,Coupe
2012,MINI,Cooper,4300,148830,red,https://www.carpages.ca/used-cars/alberta/calgary/2012-mini-cooper-13293875/,Coupe
2017,Toyota,86,15500,153749,white,https://www.carpages.ca/used-cars/alberta/calgary/2017-toyota-86-13293830/,Coupe
1995,Mazda,Miata,9500,70676,maroon,https://www.carpages.ca/used-cars/alberta/calgary/1995-mazda-miata-mx-5-13293809/,Coupe
2007,Ford,Focus,1500,223379,gray,https://www.carpages.ca/used-cars/alberta/calgary/2007-ford-focus-13293797/,Coupe
2025,Ford,Mustang,40325,0,black,https://www.carpages.ca/new-cars/british-columbia/new-westminster/2025-ford-mustang-13293629/,Coupe
2009,Volvo,C30,8500,366430,red,https://www.carpages.ca/used-cars/ontario/mississauga/2009-volvo-c30-13293598/,Coupe
2012,Fiat,500,3950,0,Other,https://www.carpages.ca/used-cars/british-columbia/surrey/2012-fiat-500-13293551/,Coupe
2005,MINI,Cooper,4450,0,Other,https://www.carpages.ca/used-cars/british-columbia/surrey/2005-mini-cooper-13293548/,Coupe
2017,BMW,2-Series,24888,160642,gray,https://www.carpages.ca/used-cars/ontario/oakville/2017-bmw-2-series-13293254/,Coupe
2025,Ford,Mustang,81560,13,white,https://www.carpages.ca/new-cars/ontario/caledonia/2025-ford-mustang-13292699/,Coupe
2014,Audi,A5,12995,162000,red,https://www.carpages.ca/used-cars/ontario/mono/2014-audi-a5-13292354/,Coupe
2008,MINI,Cooper,5999,163424,black,https://www.carpages.ca/used-cars/ontario/ajax/2008-mini-cooper-13292201/,Coupe
2024,Porsche,911,239000,6000,black,https://www.carpages.ca/used-cars/british-columbia/vancouver/2024-porsche-911-13290902/,Coupe
2021,Dodge,Challenger,25600,104392,red,https://www.carpages.ca/used-cars/alberta/calgary/2021-dodge-challenger-13289579/,Coupe
2009,Lexus,SC,15000,127762,silver,https://www.carpages.ca/used-cars/alberta/calgary/2009-lexus-sc-430-13289525/,Coupe
2016,Audi,S5,16999,163550,black,https://www.carpages.ca/used-cars/ontario/mississauga/2016-audi-s5-13289357/,Coupe
2018,Audi,A5,23838,97126,white,https://www.carpages.ca/used-cars/ontario/oakville/2018-audi-a5-13289354/,Coupe
2005,Cadillac,XLR,25995,114800,satin,https://www.carpages.ca/used-cars/ontario/perth/2005-cadillac-xlr-13289213/,Coupe
2009,Ford,Focus,5495,107566,black,https://www.carpages.ca/used-cars/ontario/london/2009-ford-focus-13288697/,Coupe
2005,BMW,325Ci,2495,264772,gray,https://www.carpages.ca/used-cars/ontario/london/2005-bmw-325ci-13288595/,Coupe
2004,BMW,3,2495,242329,gray,https://www.carpages.ca/used-cars/ontario/london/2004-bmw-3-series-13288520/,Coupe
2017,Honda,Civic,16998,89000,black,https://www.carpages.ca/used-cars/ontario/guelph/2017-honda-civic-13288028/,Coupe
2024,Audi,A5,53498,8176,gray,https://www.carpages.ca/used-cars/ontario/bolton/2024-audi-a5-13287278/,Coupe
2026,Hyundai,KONA,39086,25,Other,https://www.carpages.ca/new-cars/ontario/nepean/2026-hyundai-kona-13286969/,Coupe
2012,Nissan,Altima,3620,228000,gray,https://www.carpages.ca/used-cars/ontario/mississauga/2012-nissan-altima-13286915/,Coupe
2014,Smart,fortwo,7995,65000,white,https://www.carpages.ca/used-cars/ontario/london/2014-smart-fortwo-13286813/,Coupe
2018,Audi,A5,26991,76521,black,https://www.carpages.ca/used-cars/manitoba/winnipeg/2018-audi-a5-13286594/,Coupe
2006,Pontiac,Solstice,11995,71701,blue,https://www.carpages.ca/used-cars/ontario/guelph/2006-pontiac-solstice-13285661/,Coupe
