year,make,model,price,mileage,color,url,body_type
2017,Kia,Soul,13989,104185,white,https://www.carpages.ca/used-cars/ontario/oshawa/2017-kia-soul-13299608/,Hatchback
2019,Mercedes-Benz,A250,22980,50081,blue,https://www.carpages.ca/used-cars/ontario/north-york/2019-mercedes-benz-a250-13299542/,Hatchback
2013,Toyota,Venza,18499,59652,white,https://www.carpages.ca/used-cars/ontario/brampton/2013-toyota-venza-13299188/,Hatchback
2016,Volkswagen,Golf,15495,143125,carbon,https://www.carpages.ca/used-cars/ontario/kanata/2016-volkswagen-golf-13299086/,Hatchback
2012,Kia,Soul,3000,198500,moss,https://www.carpages.ca/used-cars/quebec/jonquiere/2012-kia-soul-13298399/,Hatchback
2012,Audi,A3,2500,170000,choisir,https://www.carpages.ca/used-cars/quebec/jonquiere/2012-audi-a3-13298396/,Hatchback
2012,Hyundai,Accent,2300,140250,blue,https://www.carpages.ca/used-cars/quebec/jonquiere/2012-hyundai-accent-13298393/,Hatchback
2018,Chevrolet,Spark,11538,73408,gray,https://www.carpages.ca/used-cars/ontario/orleans/2018-chevrolet-spark-13298240/,Hatchback
2018,Chevrolet,Sonic,12988,112108,gray,https://www.carpages.ca/used-cars/ontario/st-catharines/2018-chevrolet-sonic-13298054/,Hatchback
2015,Nissan,Versa,10995,33713,blue,https://www.carpages.ca/used-cars/saskatchewan/swift-current/2015-nissan-versa-13297916/,Hatchback
2025,Audi,A5,55550,10470,gray,https://www.carpages.ca/used-cars/ontario/ottawa/2025-audi-a5-13297892/,Hatchback
2022,Audi,A5,48488,41671,blue,https://www.carpages.ca/used-cars/ontario/whitby/2022-audi-a5-sportback-13297880/,Hatchback
2019,Nissan,Versa,13988,115650,orange,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-nissan-versa-13297850/,Hatchback
2023,Mercedes-Benz,AMG,111900,15966,black,https://www.carpages.ca/used-cars/ontario/vaughan/2023-mercedes-benz-amg-13297751/,Hatchback
