year,make,model,price,mileage,color,url,body_type
2016,Dodge,Grand,6500,243382,white,https://www.carpages.ca/used-cars/alberta/calgary/2016-dodge-grand-caravan-13299821/,Minivan
2024,Ford,Transit,70275,0,white,https://www.carpages.ca/new-cars/british-columbia/new-westminster/2024-ford-transit-13299800/,Minivan
2011,Toyota,Sienna,11990,221995,black,https://www.carpages.ca/used-cars/ontario/scarborough/2011-toyota-sienna-13299743/,Minivan
2017,Mazda,MAZDA5,16995,23130,anthracite,https://www.carpages.ca/used-cars/ontario/waterloo/2017-mazda-mazda5-13299710/,Minivan
2018,Ford,Transit,27988,98480,Other,https://www.carpages.ca/used-cars/alberta/calgary/2018-ford-transit-13299215/,Minivan
2017,Honda,Odyssey,24995,161859,gray,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2017-honda-odyssey-13298645/,Minivan
2022,Kia,Carnival,35977,23012,noir,https://www.carpages.ca/used-cars/quebec/quebec/2022-kia-carnival-13298609/,Minivan
2016,Dodge,Grand,19991,220320,black,https://www.carpages.ca/used-cars/manitoba/winnipeg/2016-dodge-grand-caravan-13298216/,Minivan
2019,Chrysler,Pacifica,29423,67111,red,https://www.carpages.ca/used-cars/ontario/windsor/2019-chrysler-pacifica-13297985/,Minivan
2020,Dodge,Grand,28999,52191,granite,https://www.carpages.ca/used-cars/ontario/waterloo/2020-dodge-grand-caravan-13297919/,Minivan
2024,Dodge,Grand,33995,42359,white,https://www.carpages.ca/used-cars/british-columbia/surrey/2024-dodge-grand-caravan-13297868/,Minivan
2020,Dodge,Grand,23995,84069,silver,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2020-dodge-grand-caravan-13297715/,Minivan
2019,Dodge,Grand,24400,63241,red,https://www.carpages.ca/used-cars/quebec/saint-hubert/2019-dodge-grand-caravan-13297700/,Minivan
2026,Honda,Odyssey,62220,50,white,https://www.carpages.ca/new-cars/british-columbia/vancouver/2026-honda-odyssey-13297424/,Minivan
2014,Chrysler,Town,14995,61766,gold,https://www.carpages.ca/used-cars/ontario/london/2014-chrysler-town--country-13297313/,Minivan
2016,Dodge,Grand,4900,248935,red,https://www.carpages.ca/used-cars/alberta/calgary/2016-dodge-grand-caravan-13297145/,Minivan
2017,Dodge,Grand,12854,156874,granite,https://www.carpages.ca/used-cars/british-columbia/langley/2017-dodge-grand-caravan-13297106/,Minivan
2014,Dodge,Grand,7999,213048,red,https://www.carpages.ca/used-cars/ontario/hamilton/2014-dodge-grand-caravan-13297022/,Minivan
2024,Dodge,Grand,37995,27133,white,https://www.carpages.ca/used-cars/saskatchewan/moose-jaw/2024-dodge-grand-caravan-13296857/,Minivan
2016,Dodge,Grand,11999,150000,gray,https://www.carpages.ca/used-cars/ontario/gloucester/2016-dodge-grand-caravan-13296605/,Minivan
2025,Toyota,Sienna,79998,7780,silver,https://www.carpages.ca/used-cars/british-columbia/surrey/2025-toyota-sienna-13296326/,Minivan
2017,Ford,Transit,19995,152146,white,https://www.carpages.ca/used-cars/british-columbia/langley/2017-ford-transit-connect-13296200/,Minivan
2018,Chrysler,Pacifica,13890,204445,beige,https://www.carpages.ca/used-cars/ontario/ottawa/2018-chrysler-pacifica-13296155/,Minivan
2024,Dodge,Grand,33995,39758,black,https://www.carpages.ca/used-cars/ontario/kingston/2024-dodge-grand-caravan-13296092/,Minivan
2020,Ford,Transit,45820,159867,white,https://www.carpages.ca/used-cars/british-columbia/burnaby/2020-ford-transit-13295258/,Minivan
2017,Mercedes-Benz,Sprinter,38820,136251,white,https://www.carpages.ca/used-cars/british-columbia/burnaby/2017-mercedes-benz-sprinter-13295255/,Minivan
2019,Ford,Transit,24666,123670,white,https://www.carpages.ca/used-cars/ontario/waterloo/2019-ford-transit-13295045/,Minivan
2024,Dodge,Grand,38998,36229,black,https://www.carpages.ca/used-cars/manitoba/winnipeg/2024-dodge-grand-caravan-13294373/,Minivan
2022,Honda,Odyssey,42998,55600,black,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-honda-odyssey-13294166/,Minivan
