year,make,model,price,mileage,color,url,body_type
2024,Ford,F-150,41388,9825,gray,https://www.carpages.ca/used-cars/ontario/brampton/2024-ford-f-150-13299824/,Pickup Truck
2016,Ford,SUPER,25950,194920,black,https://www.carpages.ca/used-cars/ontario/brampton/2016-ford-super-duty-f-350-srw-13299755/,Pickup Truck
2026,Ford,F-150,70045,0,black,https://www.carpages.ca/new-cars/british-columbia/new-westminster/2026-ford-f-150-13299725/,Pickup Truck
2026,Ford,F-150,70045,0,white,https://www.carpages.ca/new-cars/british-columbia/new-westminster/2026-ford-f-150-13299722/,Pickup Truck
2013,RAM,1500,19395,48116,white,https://www.carpages.ca/used-cars/ontario/dunnville/2013-ram-1500-13299719/,Pickup Truck
2023,Ford,F-150,62995,36115,area,https://www.carpages.ca/used-cars/british-columbia/new-westminster/2023-ford-f-150-13299713/,Pickup Truck
2026,Ford,F-150,70045,0,black,https://www.carpages.ca/new-cars/british-columbia/new-westminster/2026-ford-f-150-13299638/,Pickup Truck
2012,Dodge,Ram,38995,97589,white,https://www.carpages.ca/used-cars/ontario/dunnville/2012-dodge-ram-13299629/,Pickup Truck
2026,Ford,Maverick,40517,0,white,https://www.carpages.ca/new-cars/ontario/harriston-walkerton-wingham/2026-ford-maverick-13299623/,Pickup Truck
2011,Ford,F-150,12499,236933,gray,https://www.carpages.ca/used-cars/manitoba/winnipeg/2011-ford-f-150-13299524/,Pickup Truck
2017,Chevrolet,Silverado,29995,118726,Other,https://www.carpages.ca/used-cars/ontario/st-thomas/2017-chevrolet-silverado-1500-13299416/,Pickup Truck
2019,Ford,F-150,31395,194500,white,https://www.carpages.ca/used-cars/ontario/dunnville/2019-ford-f-150-13299404/,Pickup Truck
2024,Chevrolet,Silverado,59995,38474,Other,https://www.carpages.ca/used-cars/ontario/smiths-falls/2024-chevrolet-silverado-1500-13299218/,Pickup Truck
2025,Ford,F-150,83525,0,white,https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2025-ford-f-150-13299161/,Pickup Truck
