year,make,model,price,mileage,color,url,body_type
2013,Toyota,Corolla,7495,183600,Other,https://www.carpages.ca/used-cars/quebec/vaudreuil-dorion/2013-toyota-corolla-13299776/,Sedan
2016,Chrysler,200,8500,160871,black,https://www.carpages.ca/used-cars/ontario/etobicoke/2016-chrysler-200-13299770/,Sedan
2015,Hyundai,Sonata,12998,111924,white,https://www.carpages.ca/used-cars/british-columbia/surrey/2015-hyundai-sonata-13299767/,Sedan
2014,Toyota,Corolla,14995,66170,white,https://www.carpages.ca/used-cars/ontario/waterloo/2014-toyota-corolla-13299740/,Sedan
2022,Hyundai,Elantra,24450,39000,black,https://www.carpages.ca/used-cars/ontario/toronto/2022-hyundai-elantra-13299731/,Sedan
2012,Volkswagen,Jetta,8495,113150,white,https://www.carpages.ca/used-cars/ontario/ottawa/2012-volkswagen-jetta-13299698/,Sedan
2011,Mazda,MAZDA3,6495,170555,blue,https://www.carpages.ca/used-cars/ontario/waterloo/2011-mazda-mazda3-13299692/,Sedan
2007,Toyota,Camry,6495,227000,blue,https://www.carpages.ca/used-cars/ontario/mono/2007-toyota-camry-13299677/,Sedan
2013,Nissan,Sentra,5888,189305,black,https://www.carpages.ca/used-cars/ontario/north-york/2013-nissan-sentra-13299512/,Sedan
2015,Cadillac,CTS,18995,78900,red,https://www.carpages.ca/used-cars/ontario/barrie/2015-cadillac-cts-13299500/,Sedan
2014,Chevrolet,Cruze,9499,89000,black,https://www.carpages.ca/used-cars/ontario/brantford/2014-chevrolet-cruze-13299446/,Sedan
2015,Chevrolet,Cruze,9499,95000,brown,https://www.carpages.ca/used-cars/ontario/brantford/2015-chevrolet-cruze-13299437/,Sedan
2018,Hyundai,Elantra,9999,182100,white,https://www.carpages.ca/used-cars/ontario/st-catharines/2018-hyundai-elantra-13299419/,Sedan
2018,Hyundai,Elantra,9999,124311,white,https://www.carpages.ca/used-cars/ontario/ajax/2018-hyundai-elantra-13299407/,Sedan
2016,Chevrolet,Cruze,6499,202698,black,https://www.carpages.ca/used-cars/ontario/ajax/2016-chevrolet-cruze-13299335/,Sedan
2012,Chevrolet,Cruze,5999,234446,black,https://www.carpages.ca/used-cars/ontario/ajax/2012-chevrolet-cruze-13299332/,Sedan
2024,Tesla,Model,40999,40047,gray,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2024-tesla-model-3-13299284/,Sedan
2023,Subaru,WRX,27988,26282,Other,https://www.carpages.ca/used-cars/alberta/calgary/2023-subaru-wrx-13299209/,Sedan
2017,Nissan,Sentra,11995,111333,blue,https://www.carpages.ca/used-cars/british-columbia/richmond/2017-nissan-sentra-13299074/,Sedan
2020,Hyundai,Elantra,15995,90513,black,https://www.carpages.ca/used-cars/british-columbia/richmond/2020-hyundai-elantra-13299068/,Sedan
2011,Mazda,MAZDA3,9995,172281,gray,https://www.carpages.ca/used-cars/british-columbia/richmond/2011-mazda-mazda3-13299071/,Sedan
2015,Mercedes-Benz,C-Class,21995,106400,black,https://www.carpages.ca/used-cars/ontario/ottawa/2015-mercedes-benz-c-class-13298858/,Sedan
2013,Hyundai,Elantra,6995,187621,blue,https://www.carpages.ca/used-cars/ontario/london/2013-hyundai-elantra-gt-13298807/,Sedan
2018,Mercedes-Benz,CLA-Class,18895,112488,white,https://www.carpages.ca/used-cars/ontario/scarborough/2018-mercedes-benz-cla-class-13298783/,Sedan
2017,Cadillac,CT6,18900,180000,white,https://www.carpages.ca/used-cars/ontario/toronto/2017-cadillac-ct6-13298720/,Sedan
2021,Honda,Civic,25495,12962,red,https://www.carpages.ca/used-cars/ontario/ottawa/2021-honda-civic-13298702/,Sedan
2018,Chrysler,300,24900,114042,white,https://www.carpages.ca/used-cars/alberta/edmonton/2018-chrysler-300-13298699/,Sedan
2019,Toyota,Corolla,18999,111300,white,https://www.carpages.ca/used-cars/ontario/welland/2019-toyota-corolla-13298657/,Sedan
2014,Honda,Civic,3422,363224,unknown,https://www.carpages.ca/used-cars/ontario/north-bay/2014-honda-civic-13298408/,Sedan
2013,Ford,Focus,2622,200476,unknown,https://www.carpages.ca/used-cars/ontario/long-sault/2013-ford-focus-13298390/,Sedan
2023,Infiniti,Q50,38998,30292,black,https://www.carpages.ca/used-cars/alberta/calgary/2023-infiniti-q50-13298351/,Sedan
2016,Chevrolet,Cruze,5200,129000,white,https://www.carpages.ca/used-cars/ontario/mississauga/2016-chevrolet-cruze-13298123/,Sedan
2013,Hyundai,Elantra,4990,181000,black,https://www.carpages.ca/used-cars/ontario/mississauga/2013-hyundai-elantra-13298117/,Sedan
2021,Dodge,Charger,32995,53004,black,https://www.carpages.ca/used-cars/british-columbia/richmond/2021-dodge-charger-13298114/,Sedan
2018,Hyundai,Sonata,12995,167595,black,https://www.carpages.ca/used-cars/british-columbia/richmond/2018-hyundai-sonata-13298111/,Sedan
