year,make,model,price,mileage,color,url,body_type
2020,Mazda,CX-30,19800,66000,white,https://www.carpages.ca/used-cars/british-columbia/surrey/2020-mazda-cx-30-13299764/,SUV
2015,Volkswagen,Tiguan,16995,74682,white,https://www.carpages.ca/used-cars/ontario/waterloo/2015-volkswagen-tiguan-13299746/,SUV
2024,Kia,Seltos,26995,15078,gray,https://www.carpages.ca/used-cars/ontario/dunnville/2024-kia-seltos-13299632/,SUV
2025,Ford,Bronco,50810,0,desert,https://www.carpages.ca/new-cars/british-columbia/new-westminster/2025-ford-bronco-sport-13299626/,SUV
2025,Ford,Bronco,47144,0,white,https://www.carpages.ca/new-cars/ontario/harriston-walkerton-wingham/2025-ford-bronco-sport-13299617/,SUV
2025,Ford,Bronco,41320,0,blue,https://www.carpages.ca/new-cars/ontario/harriston-walkerton-wingham/2025-ford-bronco-sport-13299614/,SUV
1962,Jeep,Willys,38962,82,green,https://www.carpages.ca/used-cars/ontario/perth/1962-jeep-willys-13299611/,SUV
2017,Hyundai,Tucson,15900,118943,black,https://www.carpages.ca/used-cars/ontario/kitchener/2017-hyundai-tucson-13299605/,SUV
2024,Buick,Encore,31997,32500,red,https://www.carpages.ca/used-cars/ontario/thunder-bay/2024-buick-encore-gx-13299602/,SUV
2023,Jeep,Wrangler,51995,23032,black,https://www.carpages.ca/used-cars/ontario/tilbury/2023-jeep-wrangler-13299557/,SUV
2013,Honda,Pilot,11999,232296,white,https://www.carpages.ca/used-cars/ontario/hamilton/2013-honda-pilot-13299554/,SUV
2026,Honda,HR-V,32700,0,black,https://www.carpages.ca/new-cars/newfoundland-and-labrador/corner-brook/2026-honda-hr-v-13299530/,SUV
2016,Honda,CR-V,13995,191575,blue,https://www.carpages.ca/used-cars/ontario/ottawa/2016-honda-cr-v-13299518/,SUV
2014,Kia,Sorento,10995,139110,silver,https://www.carpages.ca/used-cars/ontario/dunnville/2014-kia-sorento-13299497/,SUV
2014,Jeep,Compass,7990,166321,white,https://www.carpages.ca/used-cars/manitoba/winnipeg/2014-jeep-compass-13299494/,SUV
2019,Ford,EcoSport,16499,61464,white,https://www.carpages.ca/used-cars/ontario/stoney-creek/2019-ford-ecosport-13299491/,SUV
2014,Infiniti,QX80,11999,200000,gray,https://www.carpages.ca/used-cars/ontario/brantford/2014-infiniti-qx80-13299455/,SUV
2014,Ford,Escape,6499,196859,red,https://www.carpages.ca/used-cars/ontario/hamilton/2014-ford-escape-13299440/,SUV
2026,Ford,Explorer,74081.92,0,gray,https://www.carpages.ca/new-cars/ontario/hagersville/2026-ford-explorer-13299428/,SUV
2021,Hyundai,KONA,21995,32312,Other,https://www.carpages.ca/used-cars/ontario/north-bay/2021-hyundai-kona-13299413/,SUV
2018,Subaru,Outback,19900,129000,gray,https://www.carpages.ca/used-cars/ontario/north-york/2018-subaru-outback-13299410/,SUV
2017,Ford,Escape,10599,134572,red,https://www.carpages.ca/used-cars/ontario/burlington/2017-ford-escape-13299347/,SUV
2015,Buick,Enclave,5999,317265,black,https://www.carpages.ca/used-cars/ontario/ajax/2015-buick-enclave-13299338/,SUV
2019,Mercedes-Benz,GLC,27488,99364,Other,https://www.carpages.ca/used-cars/alberta/calgary/2019-mercedes-benz-glc-13299212/,SUV
2017,BMW,X5,20988,150363,Other,https://www.carpages.ca/used-cars/alberta/calgary/2017-bmw-x5-13299203/,SUV
2017,Tesla,Model,32988,86545,Other,https://www.carpages.ca/used-cars/alberta/calgary/2017-tesla-model-x-13299206/,SUV
2021,Maserati,Levante,57988,50999,Other,https://www.carpages.ca/used-cars/alberta/calgary/2021-maserati-levante-13299200/,SUV
2019,Audi,Q5,20988,162983,Other,https://www.carpages.ca/used-cars/alberta/calgary/2019-audi-q5-13299197/,SUV
2017,BMW,X3,21988,123998,Other,https://www.carpages.ca/used-cars/alberta/calgary/2017-bmw-x3-13299194/,SUV
2017,Volkswagen,Tiguan,15999,150852,silver,https://www.carpages.ca/used-cars/alberta/calgary/2017-volkswagen-tiguan-13299143/,SUV
2024,Mazda,CX-50,38998,48344,gray,https://www.carpages.ca/used-cars/ontario/nepean/2024-mazda-cx-50-13299128/,SUV
2023,Toyota,4Runner,57991,78125,Other,https://www.carpages.ca/used-cars/ontario/kanata/2023-toyota-4runner-13299089/,SUV
2022,Cadillac,XT6,49988,23523,black,https://www.carpages.ca/used-cars/ontario/st-catharines/2022-cadillac-xt6-13299050/,SUV
2015,Nissan,Rogue,12988,130116,green,https://www.carpages.ca/used-cars/ontario/st-catharines/2015-nissan-rogue-13299047/,SUV
2022,Mazda,CX-9,36593,24381,black,https://www.carpages.ca/used-cars/british-columbia/burnaby/2022-mazda-cx-9-13299044/,SUV
2023,Mitsubishi,RVR,21431,65130,silver,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2023-mitsubishi-rvr-13298960/,SUV
2025,Mitsubishi,Outlander,53398,232,black,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2025-mitsubishi-outlander-13298954/,SUV
2026,Volkswagen,Taos,41002,10,white,https://www.carpages.ca/new-cars/british-columbia/surrey/2026-volkswagen-taos-13298900/,SUV
2026,Volkswagen,Tiguan,46428,10,black,https://www.carpages.ca/new-cars/british-columbia/surrey/2026-volkswagen-tiguan-13298897/,SUV
2018,Mercedes-Benz,GLE,23995,165037,blue,https://www.carpages.ca/used-cars/ontario/london/2018-mercedes-benz-gle-13298819/,SUV
2018,GMC,Terrain,8995,286753,black,https://www.carpages.ca/used-cars/ontario/london/2018-gmc-terrain-13298816/,SUV
2018,Volkswagen,Tiguan,17995,133162,white,https://www.carpages.ca/used-cars/ontario/london/2018-volkswagen-tiguan-13298813/,SUV
2008,Ford,Escape,6495,124003,black,https://www.carpages.ca/used-cars/ontario/london/2008-ford-escape-13298810/,SUV
2023,Ford,Escape,31980,55575,white,https://www.carpages.ca/used-cars/manitoba/dauphin/2023-ford-escape-13298789/,SUV
2017,Jeep,Compass,12895,158484,black,https://www.carpages.ca/used-cars/ontario/scarborough/2017-jeep-compass-13298780/,SUV
2016,Honda,HR-V,12500,143000,blue,https://www.carpages.ca/used-cars/ontario/toronto/2016-honda-hr-v-13298777/,SUV
2026,Toyota,Highlander,60597,5,black,https://www.carpages.ca/new-cars/ontario/ottawa/2026-toyota-highlander-13298753/,SUV
2025,Toyota,RAV4,45559,1,silver,https://www.carpages.ca/new-cars/ontario/ottawa/2025-toyota-rav4-13298750/,SUV
2024,Mazda,CX-90,44099,58775,white,https://www.carpages.ca/used-cars/saskatchewan/regina/2024-mazda-cx-90-mhev-13298741/,SUV
2018,Toyota,RAV4,16800,221000,white,https://www.carpages.ca/used-cars/ontario/richmond-hill/2018-toyota-rav4-13298729/,SUV
2018,BMW,X1,16895,120852,gray,https://www.carpages.ca/used-cars/ontario/scarborough/2018-bmw-x1-13298717/,SUV
